"Nummer [Anke]","offizielle Nummer",Bezeichnung,Stadtteil,Adresse,"Koordinaten NS","Koordinaten OW ",Datierung,Beschreibung,Status,Fütterung,Kontrollen,WikipediaId,OsmId
82,226,Handschwengelpumpe,Dölitz-Dösen,Leinestraße,5128604,1241067,"um 1900 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte auf einem kleinen Platz vor Nr. 52 (Typ Delphin; Insel hinter dem Teich)","wahrscheinlich nur verosteter<Fragezeichen> Torso vorhanden",,,09296136,
83,118,Handschwengelpumpe,Zentrum-Südost,Leplaystraße,5133439,123784779,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Grünewaldstraße (Typ Gotik)","abgebaut [Anke]",,,09291505,
84,16,"Handschwengelpumpe [abgebaut]",Zentrum-West,Lessingstraße,5134205,1236584,,"Handschwengelpumpe Nr. 16 mit Brunnenschacht und Abdeckplatte vor Nr. 13","wahrscheinlich abgebaut",,,09291162,
85,265,Handschwengelpumpe,Gohlis-Süd,"Lindenthaler Straße",5135934,1236543,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Berggartenstraße vor Nr. 1 (Typ Delphin)","wahrscheinlich nur verosteter<Fragezeichen> Torso vorhanden",,,09294882,
86,235,"Handschwengelpumpe [rekonstruiert]",Lößnig,"Lobstädter Straße 9",5129841,1238863,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 9 und in Ecklage Ernst-Toller-Straße (Typ Vogelkäfig)",,,,09296547,
87,19,"Handschwengelpumpe [rekonstruiert]",Zentrum-Nordwest,"Lortzingstraße 3",5134528,1237062,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 3, hinter dem Naturkundemuseum (Typ Delphin)",,,,09290393,
89,62,Handschwengelpumpe,Neustadt-Neuschönefeld,Ludwig-Erhard-Straße,513409748,123953792,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte; Typ Kleiner Löwe",,,,09263878,
88,66,"Handschwengelpumpe [rekonstruiert]",Zentrum-Ost,"Ludwig-Erhard-Straße 53",5134468,1239305,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 51/53 (Typ Kleiner Löwe)","betriebsbereit [Anke]","bisher nicht erforderlich","21.7.21, 4.8.21",09294862,
90,188,"Handschwengelpumpe [Torso]",Neustadt-Neuschönefeld,Ludwigstraße,5134663,1240026,"um 1900 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte in Ecklage Neustädter Straße (Typ Delphin), gegenüber Ludwigstraße 20","wahrscheinlich nur alter Torso vorhanden",,,09293347,
91,182,Handschwengelpumpe,Volkmarsdorf,Ludwigstraße,5134602,1241148,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Haus Nr. 115 (Typ Delphin)","wahrscheinlich nur alter Torso vorhanden",,,09294594,
91,179,Handschwengelpumpe,Volkmarsdorf,Ludwigstraße,5134616,1240892,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 99 in Ecklage Elisabethstraße (Typ Delphin)","wahrscheinlich nur alter Torso vorhanden",,,09294584,
92,25,"Handschwengelpumpe [rekonstruiert]",Zentrum,"Magazingasse 1 (andere Straßenseite)",5133728,1237649,"nach 1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte Ecke Neumarkt (Typ Vogelkäfig)","Brunnen verpresst [Bau und Service Leipzig GmbH]",,,09290375,
93,276,"Handschwengelpumpe [abgebaut]",Eutritzsch,Magnusstraße,5137448,1238577,"1910 (Handschwengelpumpe)","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte neben Haus Delitzscher Straße 160","wahrscheinlich abgebaut",,,09294854,
94,189,"Handschwengelpumpe [rekonstruiert]",Neustadt-Neuschönefeld,"Mariannenstraße 10",5134730,1239777,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Delphin)",betriebsbereit,,,09293310,
95,180,"Handschwengelpumpe [Torso]",Volkmarsdorf,Mariannenstraße,5134675,1240906,,"Torso einer Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 91 in Ecklage eines öffentlichen Platzes und in Ecklage Elisabethstraße","wahrscheinlich nur alter Torso vorhanden",,,09294887,
96,181,Handschwengelpumpe,Volkmarsdorf,Mariannenstraße,5134653,1241151,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 102 in Ecklage Idastraße (Typ Delphin)","wahrscheinlich nur alter Torso vorhanden",,,09294629,
97,184,"Handschwengelpumpe [abgebaut]",Volkmarsdorf,Mariannenstraße,5134650,1241373,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 121 in Ecklage Bennigsenstraße","wahrscheinlich abgebaut",,,09294863,
98,64,"Handschwengelpumpe [rekonstruiert]",Zentrum-Ost,Marienplatz,5134289,12392808,,"Handschwengelpumpe mit Brunnenschacht und Abdeckplatte (Typ Delphin)","betriebsbereit, wenn mit ca. 4 L Wasser gefüttert wurde",21.7.21.,"04.08.2021, 8.8.21",09290408,
99,93,Handschwengelpumpe,Zentrum-Süd,Markthallenstraße,513351637,123763337,,"Handschwengelpumpe mit Brunnenschacht und Fassung","Standort nicht gefunden, wahrscheinlich gar nicht mehr vorhanden (jetzt Eingang S-Bahn-Station) [Anke]",,,09263552,
159,,,Liebertwolkwitz,"Marktplatz Liebertwolkwitz",512826373,124639511,,"(spezieller Typ)",,,
100,198,"Handschwengelpumpe [abgebaut]",Connewitz,"Meusdorfer Straße",5130647,1238037,"19. September 2013 Pumpenkörper nicht mehr vorhanden","Handschwengelpumpe mit Brunnenschacht und Abdeckplatte vor Nr. 61","wahrscheinlich abgebaut",,,09297155,
